date,year,sport,event
Jan-15,1978,NFL,"Super Bowl XII, Louisiana Superdome, New Orleans, LA: Dallas Cowboys beat Denver Broncos, 27-10"
Jan-15,1988,Cricket,Indian cricket wicketkeeper Kiran More stumps 5 West Indian batsman in 4th Test at Madras; world Test record
Jan-15,1990,Basketball,"Golden State coach Don Nelson becomes joins Leeny Wilkens as the only two men to appear in 1,000 games both as a player and coach"
Jan-15,1998,Swimming,"Ian Thorpe becomes youngest ever male to become a world swimming champion when he wins 400m freestyle aged 15 years, 3 months"
Jan-16,1905,Ice Hockey,"Stanley Cup, Dey's Arena, Ottawa, Ontario: Ottawa Senators rout Dawson City (Yukon), 23-2 for 2-0 series sweep"
Jan-16,1933,Cricket,Australian batsman Bert Oldfield suffers a fractured skull after being struck by a ball bowled by England's Harold Larwood during the Third Test in Adelaide
Jan-16,1972,NFL,"Super Bowl VI, Tulane Stadium, New Orleans, LA: Dallas Cowboys beat Miami Dolphins, 24-3"
Jan-16,2019,Basketball,James Harden becomes first player to score 55+ points in back-to-back NBA games since Wilt Chamberlain in 1962
Jan-17,1971,NFL,"Super Bowl V, Miami Orange Bowl, Miami, FL: Baltimore Colts beat Dallas Cowboys, 16-13"
Jan-17,1989,Basketball,"Phoenix Suns cancel game at Miami Heat, due to racial unrest in Miami"
Jan-17,2025,Ice Hockey,Pittsburgh Penguins Alex Nedeljkovic becomes first goalie in NHL history to have a goal and an assist in same
Jan-18,1976,NFL,"Super Bowl X, Miami Orange Bowl, Miami, FL: Pittsburgh Steelers beat Dallas Cowboys, 21-17; MVP"
Jan-18,2015,Cricket,AB de Villiers makes fastest century in ODI cricket history from 31 balls during an innings of 149 against the West Indies in Johannesburg
Jan-19,1974,Basketball,"Notre Dame beats UCLA, 71-70 to end the Bruins' NCAA-record 88-game basketball win streak"
Jan-19,1984,Basketball,"Birthday of LeBron James in Akron, Ohio; he goes on to become a four-time NBA Champion, four-time MVP, and the NBA's all-time leading scorer surpassing Kareem Abdul-Jabbar in 2023"
Jan-20,1910,Ice Hockey," Stanley Cup, Dey's Arena, Ottawa, ON: Ottawa Senators outclass Edmonton HC, 13-7 for a 2-0 sweep"
Jan-21,1907,Ice Hockey,"Stanley Cup Hockey, Montreal Arena, Westmount, Quebec: Kenora Thistles (ON) beat Montreal Wanderers, 8-6 for 12-8 aggregate challenge series victory"
Jan-21,1930,Ice Hockey,Boston Bruins become first team in NHL history to score 100 goals in a season
Jan-21,1948,Cricket,"Three greats of cricket all make their debut in a drawn 1st Test match at Bridgetown, Barbados; Sir Clyde Walcott and Sir Everton Weekes for the West Indies, and Jim Laker for England"
Jan-22,1980,Ice Hockey,"""The Miracle On Ice"" US college players pull of one the greatest upsets in world sport, beating the Soviet Union in Ice Hockey"
Jan-22,1981,Tennis,"Birthday of Novak Djokovic in Belgrade, Serbia; he goes on to become the most decorated men's singles tennis player in history with a record 24 Grand Slam titles"
Jan-22,1984,NFL,"Super Bowl XVIII, Tampa Stadium, Tampa, FL: LA Raiders beat Washington Redskins, 38-9"
Jan-23,2015,Basketball,Klay Thompson scores an NBA record 37 points in a quarter (3rd quarter v Sacramento Kings)
Jan-24,1930,Cricket,John Mills scores New Zealand's 1st Test century in cricket
Jan-24,1962,Baseball,Jackie Robinson ibecomess 1st African American elected to Baseball's Hall of Fame
Jan-25,1981,NFL,"Super Bowl XV, Louisiana Superdome, New Orleans, LA: Oakland Raiders beat Philadelphia Eagles, 27-10"
Jan-25,1998,NFL,"Super Bowl XXXII, Qualcomm Stadium, San Diego, CA: Denver Broncos beat Green Bay Packers, 31-24"
Jan-26,1961,Ice Hockey,"Birthday of Wayne Gretzky, 'The Great One', the greatest player in NHL history who scored a record 894 goals and 2,857 points across his career, records that remain untouched"
Jan-26,1986,NFL,"Super Bowl XX, Louisiana Superdome, New Orleans, Louisiana: Chicago Bears beat New England Patriots, 46-10"
Jan-26,1992,NFL,"Super Bowl XXVI, Metrodome, Minneapolis, Minnesota: Washington Redskins beat Buffalo Bills, 37-24"
Jan-26,1997,NFL,"Super Bowl XXXI, Louisiana Superdome, New Orleans, LA: Green Bay Packers beat New England Patriots, 35-21"
Jan-26,2003,NFL,"Super Bowl XXXVII, Qualc:omm Stadium, San Diego, CA: Tampa Bay Buccaneers beat Oakland Raiders, 48-21"
Jan-27,1894,Basketball,"1st ever college basketball game, University of Chicago beats Chicago YMCA 19-11"
Jan-27,1969,Cricket,"Birthday of Australian captain Mark Taylor, who led Australia to great success and famously declared on 334 to equal Don Bradman's record"
Jan-27,1991,NFL,"Super Bowl XXV, Tampa Stadium, Tampa, FL: New York Giants beat Buffalo Bills, 20-19"
Jan-28,1959,Basketball,Soviet Union wins 62-37 for 1st international basketball loss by US
Jan-28,1996,NFL,"Super Bowl XXX, Sun Devil Stadium, Tempe, AZ: Dallas Cowboys beat Pittsburgh Steelers, 27-17"
Jan-29,2006,Cricket,Irfan Pathan becomes first bowler to take a Test cricket hat-trick in the opening over of a match
Jan-30,1975,Golf,"Birthday of Tiger Woods in Cypress, California; he goes on to win 15 major championships, 82 PGA Tour events, and transform the game of golf into a global spectacle"
Jan-30,2000,NFL,"Super Bowl XXXIV, Georgia Dome, Atlanta, GA: St. Louis Rams beat Tennessee Titans, 23-16"
Jan-30,2018,Basketball,"James Harden puts up highest scoring triple-double in NBA history (60 points, 10 rebounds, 11 assists)"
Jan-31,1901,Ice Hockey,"Stanley Cup, Montreal Arena, Westmount, Quebec: Winnipeg Victorias edge Montreal Shamrocks, 2-1 to sweep challenge series, 2-0"
Jan-31,1999,NFL,"Super Bowl XXXIII, Pro Player Stadium, Miami, FL: Denver Broncos beat Atlanta Falcons, 34-19"
Jan-31,2018,Basketball,"James Harden becomes first player in NBA history to log a 60-point triple-double with 60 points, 10 rebounds, 11 assists, 4 steals and a block"
Feb-01,2000,AFL,"Birthday of AFL superstar Patrick Dangerfield, who won the Brownlow Medal in 2016 with a record 35 votes and is regarded as one of the greatest midfielders of the modern era"
Feb-01,2009,NFL,"Super Bowl XLIII, Raymond James Stadium, Tampa, FL: Pittsburgh Steelers beat Arizona Cardinals, 27-23"
Feb-02,1995,Cricket,Henry Olonga no-balled for throwing in Zimbabwe-Pakistan Test Cricket
Feb-03,1924,Olympics,Switzerland claims the inaugural Olympic bobsleigh gold medal
Feb-03,2013,NFL,"Super Bowl XLVII, Mercedes-Benz Stadium, New Orleans, LA: Baltimore Ravens beat San Francisco 49ers, 34-31"
Feb-03,2019,NFL,"Super Bowl LIII, Mercedes-Benz Stadium, Atlanta, GA: New England Patriots beat Los Angeles Rams, 13-3"
Feb-04,1902,Ice Hockey,"Stanley Cup, Winnipeg Auditorium, Winnipeg, Manitoba: Montreal HC beats Winnipeg Victorias, 2-1 for a 2-1 challenge series victory"
Feb-04,1903,Ice Hockey,"Stanley Cup: Montreal HC beats Winnipeg Victorias, 4-1 for a 2-1 challenge series win"
Feb-04,1987,Basketball,Sacramento Kings score only 4 points 1st quarter against Lakers; fewest in a period since introduction of 24 second shot-clock in 1954
Feb-05,1969,Cricket,"Birthday of West Indian fast bowler Curtly Ambrose, one of cricket's most feared bowlers who took 405 Test wickets and was known for his devastating spells"
Feb-05,1969,Soccer,"Birthday of Brazilian footballing great Ronaldo Nazário, who won the World Cup twice (1994 and 2002) and scored 15 World Cup goals, a record that stood for over a decade"
Feb-05,1972,Basketball,Bob Douglas is the first African American elected to the Basketball Hall of Fame
Feb-05,1989,Basketball,"Kareem Abdul-Jabar becomes 1st NBA player to score 38,000 points"
Feb-05,2006,NFL,"Super Bowl XL, Ford Field, Detroit, MI: Pittsburgh Steelers beat Seattle Seahawks, 21-10"
Feb-06,1895,Baseball,"Birthday of George Herman 'Babe' Ruth, the greatest baseball player of his era, who hit 714 career home runs and transformed baseball with his legendary power hitting"
Feb-06,1958,Soccer,8 players and 3 staff are from the Manchester United football team die in an airplane crash at  Munich-Riem Airport
Feb-06,2005,NFL,"Super Bowl XXXIX, Alltel Stadium, Jacksonville, FL: New England Patriots beat Philadelphia Eagles, 24-21"
Feb-06,2018,Horse Racing,"Brazilian jockey Jorge Ricardo equals the world record for the number of victories by a jockey with 12,844 in Rio de Janeiro"
Feb-07,1969,Horse Racing,Diane Crump becomes 1st woman jockey to ride against men at a major US racetrack
Feb-07,2016,Football,"Super Bowl L, Levi's Stadium, Santa Clara, CA: Denver Broncos beat Carolina Panthers, 24"
Feb-07,2023,Basketball,LeBron James becomes the NBA all time regular season leading points scorier
Feb-08,1926,Football,First-ever NFL Draft: Jay Berwanger from the University of Chicago is first pick by Philadelphia Eagles
Feb-08,1989,Horse Racing,American jockey Chris Antley begins record 64-day consecutive winning streak; ends 1 May
Feb-09,1540,Horse Racing,The first recorded horse race meeting in England is held at Roodee Fields in Chester
Feb-09,1990,Horse Racing,"Birthday of Black Caviar, the undefeated Australian thoroughbred racehorse who won all 25 of her career starts, including a memorable victory in the Diamond Jubilee Stakes at Royal Ascot in 2012"
Feb-10,1971,Baseball,Bill White becomes 1st African American baseball announcer
Feb-10,1977,NFL,"Birthday of Tom Brady in San Mateo, California; he goes on to win a record seven Super Bowls and is widely considered the greatest quarterback and greatest player in NFL history"
Feb-10,2017,Basketball,"Draymond Green becomes the first player in NBA history to compelte a triple-double without scoring 10 points (12 reb, 10 assists  10 steals)"
Feb-11,1948,Cricket,Test cricket debut of Frank Worrell for the West Indies vs. England at Port-of-Spain
Feb-11,2001,Tennis,"Jennifer Capriati wins the Australian Open at 25, completing a remarkable comeback from personal struggles to claim her first Grand Slam title, defeating Martina Hingis in the final"
Feb-12,1989,Ice Hockey,"Wayne Gretzky sets 2 records, his 45th hat trick & 10th 40+ goal season"
Feb-14,1896,Ice Hockey,"Stanley Cup, Victoria Skating Rink, Montreal, Quebec: Winnipeg Victorias beat Montreal Victorias, 2-0"
Feb-14,1964,Basketball,Wilt Chamberlain surpasses Don Schayes (19249) to become the NBA all time leading points scorer
Feb-14,1996,Ice Hockey,"Wayne Gretzky sets the all-time NHL points record, surpassing Gordie Howe's mark of 1,850 career points during a game with the Los Angeles Kings"
Feb-14,2019,Basketball,"Russell Westbrook makes a triple-double (44 points, 14 rebounds, 11 assists) in an NBA record 11th consecutive game"
Feb-15,1905,Horse Racing,"First Thoroughbred horse race meet at Oaklawn Park in Hot Springs, Arkansas"
Feb-16,1900,Ice Hockey,"Stanley Cup Final, Montreal Shamrocks beat Winnipeg Victorias (3-1)"
Feb-16,2005,Ice Hockey,"2004-05 NHL season is cancelled,  first time a North American professional sports league has called off a season due to labor dispute"
Feb-17,1963,Basketball,"Michael Jordan is born in Brooklyn, New York City"
Feb-17,1963,Basketball,"Birthday of Michael Jordan in Brooklyn, New York; he goes on to win six NBA championships with the Chicago Bulls and is widely regarded as the greatest basketball player of all time"
Feb-17,1968,Basketball,"Naismith Memorial Basketball Hall of Fame, Springfield, Massachusetts opens"
Feb-18,1963,Cricket,"Birthday of South African fast bowler Allan Donald, nicknamed 'White Lightning', who took 330 Test wickets and is considered one of the great pace bowlers"
Feb-18,1977,Cricket,"West Indies cricket fast bowlers Joel Garner (4/130) and (Colin Croft 3/85) debut in drawn 1st Test v Pakistan at Bridgetown, Barbados"
Feb-18,1986,Basketball,"San Antonio guard Alvin Robertson scores NBA's 2nd quadruple double-20 points, 11 rebounds, 10 assists & 10 steals in 120-114 win over Phoenix Suns"
Feb-18,1988,Ice Hockey,"tanley Cup, Montreal Arena, Westmount, Quebec: Montreal Victorias beat Winnipeg Victorias, 3-2 to sweep series"
Feb-20,1963,Cricket,1963 Australian cricket greats Neil Harvey and Alan Davidson play thier final Test match 
Feb-21,1948,Motorsports,1948 NASCAR is incorporated
Feb-22,1969,Horse Racing,"Barbara Jo Rubin becomes 1st female jockey to win at an American parimutuel race at a major US track aboard Cohesian at Charles Town, West Virginia"
Feb-22,1980,Olympics,The 'Miracle on Ice' occurs at the Winter Olympics in Lake Placid as the United States hockey team defeats the heavily-favoured Soviet Union 4-3 in one of the greatest upsets in sports history
Feb-24,1978,Basketball,"1978 Kevin Porter, NJ, sets the NBA record with 29 assists in a game"
Feb-24,1980,Rugby,"Birthday of All Blacks legend Richie McCaw in Oamaru, New Zealand; he captains New Zealand to back-to-back Rugby World Cup victories in 2011 and 2015 and is widely regarded as the greatest rugby player of all time"
Feb-25,1904,Ice Hockey,Stanley Cup: Ottawa Silver 7 sweep Toronto Marlboroughs in 2 games
Feb-25,1940,Ice Hockey,First televised ice hockey game in US - New York Rangers defeat visiting Montreal Canadiens 6-2 at Madison Square Garden; W2XBS broadcasts to up to 300 receivers in NYC
Feb-25,1964,Boxing,"Cassius Clay (Muhammad Ali) wins his first World Heavyweight Champion fight, upsetting Sonny Liston"
Feb-26,1839,Horse Racing,"First Grand National steeplechase at Aintree Racecourse, Liverpool: Jem Mason wins aboard 5/1 favorite Lottery"
Feb-27,1999,Soccer,Aston Villa are the last Premier League team to play a match with an all-English starting XI in a 4-1 defeat by Coventry
Feb-28,1906,Ice Hockey,"Stanley Cup: Ottawa HC beats Queen's University, 12-7 for a 2-0 sweep of challenge series"
Mar-02,1904,Ice Hockey,"Stanley Cup, Montreal Arena, Westmount, Quebec: Montreal Wanderers and Ottawa HC tie, 5-5; Montreal disqualified for refusing to play second game in Ottawa"
Mar-02,1951,Basketball,"1st ever NBA All-Star Game, Boston Garden: East beats West, 111-94"
Mar-02,1962,Basketball,Wilt Chamberlain scores 100 points in a 169-147 win for the Philadelphia Warriors against the New York Knicks
Mar-02,2011,Cricket,Kevin O'Brien smokes fastest century in World Cup history off 50 balls (ends 113 off 63) to help Ireland beat England by 3 wickets in Bangalore
Mar-02,2019,Horse Racing,Winx wins her 17th G1 and sets world record for Group 1 wins suprasing John Henry
Mar-03,1971,Cricket,First ever One Day International is played at Melbourne Cricket Ground: Australia defeat England by 5 wickets in a 40-over match
Mar-04,2026,Cricket,New Zealand batsman Finn Allen smashes 100 not out in 33 balls for the fastest century in T20 Cricket World Cup history
Mar-05,1910,Ice Hockey,"Stanley Cup, Dey's Arena, Ottawa, ON: Montreal Wanderers beat Ottawa Senators, 3-1"
Mar-05,1965,AFL,"Birthday of AFL legend Tony Lockett, who kicked a record 1,360 VFL/AFL goals across his career with St Kilda and Sydney Swans"
Mar-06,1902,Soccer,Real Madrid CDF is founded
Mar-06,1964,Boxing,Cassius Clay changes his name to Muhammad Ali
Mar-06,1982,Basketball,NBA highest scoring game: San Antonio beat Milwaukee 171-166 (3 OT)
Mar-07,1987,Cricket,"Sunil Gavaskar becomes 1st cricket batsman to score 10,000 Test runs"
Mar-08,1906,Ice Hockey,"Stanley Cup, Dey's Arena, Ottawa, ON: Ottawa HC beats Smiths Falls (ON), 8-2 for a 2-0 sweep of challenge series"
Mar-08,1971,Boxing,"Muhammad Ali loses his first professional fight, beaten by Joe Frazier at Madison Square Garden"
Mar-08,2020,Cricket,"Defending champions Australia wins the Women's Cricket T20 World Cup, beating India by 85 runs"
Mar-09,1895,Ice Hockey,"Stanley Cup, Victoria Rink, Montreal, Quebec: Montreal Victorias clinches trophy as Montreal HC beats Queens University, 5-1"
Mar-09,1908,Soccer,Italian football club Inter Milan is founded as Football Club Internazionale
Mar-09,1958,Basketball,"Detroit Pistons forward George Yardley III scores 26 points in 111-90 defeat to Syracuse Nationals; 1st NBA player to score 2,000 points in a season"
Mar-10,1900,Ice Hockey,"Stanley Cup, Montreal Arena, Westmount, Quebec: Montreal Shamrocks outclass Halifax Crescents, 11-0 to sweep challenge series, 2-0"
Mar-10,1913,Ice Hockey,"Stanley Cup, Quebec Skating Rink, Quebec Bulldogs retain trophy; defeat Sydney Millionaires (NS), 6-2 for a 2-0 sweep of the challenge series"
Mar-10,1970,Cricket,"South Africa cricket team beast Australia 4-0, the country's last official international cricket Test for 22 years"
Mar-10,1985,Soccer,"Birthday of Zlatan Ibrahimović, Swedish football icon who scored over 500 career goals across AC Milan, Barcelona, PSG, Manchester United, and LA Galaxy before retiring in 2023"
Mar-10,2026,Basketball,"Bam Adebayo scores 83 points in Miami Heat's 150-129 win over the Washington Wizards, the second highewst scoring game for an individual, trailing only Wilt Chamberlain (100)"
Mar-11,1904,Ice Hockey,"Stanley Cup: Ottawa Silver Sevens beat Brandon Wheat City, 2-0 at the Aberdeen Pavilion, Ottawa for a 2 game sweep and back-to-back titles"
Mar-11,1905,Ice Hockey,"Stanley Cup, Dey's Arena, Ottawa, ON: Ottawa Senators beat Rat Portage Thisles, 5-4 for 2-1 challenge series victory"
Mar-11,1912,Ice Hockey,"First Stanley Cup challenge game to be played in three 20-minute periods (formerly 30-minute halves), Quebec beats Moncton, 9-3 on way to series sweep"
Mar-11,1917,Ice Hockey,1st NHL championship game: Toronto Arenas defeat Montreal Canadiens 7-3 
Mar-11,2020,Basketball,NBA suspends 2019-20 season until further notice
Mar-12,1908,Ice Hockey,"Stanley Cup Final, Montreal Wanderers beat Winnipeg Maple Leafs (2-0)"
Mar-12,1910,Ice Hockey,"Stanley Cup,  Montreal Wanderers beat Berlin Dutchmen "
Mar-12,1993,Tennis,Monica Seles is stabbed by a spectator during a match in Hamburg; the attack sidelines the world number one for over two years and changes the course of tennis history
Mar-12,2020,Football,NHL pauses the 2019-20 season due to the COVID-19 pandemic
Mar-13,1911,Ice Hockey,Stanley Cup: Ottawa Senators beat Galt
Mar-13,1912,Ice Hockey,"Stanley Cup, Quebec Bulldogs rout Moncton Victorias (2-0)"
Mar-13,1956,Cricket,New Zealand bowl out West Indies for 77 at Eden Park to score their 1st Test Cricket win
Mar-13,2020,Soccer,"Football in Britain, including England's Premier League, EFL, Women's Super League plus in Scotland, Wales and Northern Ireland, is suspended until at least 3 April because of COVID-19 pandemic"
Mar-14,1899,Ice Hockey,Stanley Cup: Montreal Shamrocks beat Queens Universit
Mar-14,1903,Ice Hockey,"Stanley Cup Final,  Ottawa HC beats Rat Portage Thisles, (2-0)"
Mar-14,1908,Ice Hockey,"Stanley Cup Final, Montreal Wanderers beat Toronto Professionals"
Mar-14,1969,Basketball,"Birthday of NBA star Karl Malone, the Utah Jazz power forward known as 'The Mailman' who is the second all-time leading scorer in NBA history with 36,928 points and a two-time NBA MVP"
Mar-14,2009,Rugby League,2009 Canterbury winger Hazem El Masri becomes highest point scorer in Australian Rugby League history
Mar-15,1877,Cricket,Australian batsman Charles Bannerman faces the first ball in Test match cricket and goes on to score first Test century in cricket history
Mar-15,1877,Cricket,Cricket's inaugural Test match commences as Australia plays England at the Melbourne Cricket Ground
Mar-15,1987,Cricket,Larry Gomes & Joel Garner play their last Test match
Mar-15,1987,Tennis,Paraguay win the Davis Cup defeating the USA
Mar-15,1988,Football,St Louis Cardinals officially move to Phoenix
Mar-15,1991,Athletics,Sergei Bubka pole vaults world record 6.14m (20 feet 1 3/4)
Mar-15,1997,Ice Hockey,"Pittsburgh Penguins' Joe Mullen, is 1st American to score 500 NHL goals"
Mar-16,1872,Soccer,"1st English FA Cup Final: Wanderers defeat Royal Engineers, 1-0 at Kennington Oval, London"
Mar-16,1911,Ice Hockey,"Stanley Cup, Dey's Arena, Ottawa, ON: Ottawa Senators beat Port Arthur Bearcats, 13-4"
Mar-16,2020,Baseball,Major League Baseball suspends remainder of Spring Training and delays start of regular season in response to COVID-19 pandemic
Mar-17,1906,Ice Hockey,"Stanley Cup, Dey's Arena, Ottawa, ON: ECAHA playoff: Montreal Wanderers lose, 9-3 to Ottawa HC but win challenge series, 12-10 on aggregate"
Mar-17,1977,Cricket,"Australia wins cricket Centenary Test by 45 runs, same result as 1877"
Mar-17,1996,Cricket,Sri Lanka win their first ever Cricket World Cup beating Australia
Mar-18,1900,Soccer,Ajax soccer club forms in Amsterdam
Mar-18,1921,Horse Racing,"Shaun Spadah wins the Grand National,  winner is only horse to complete the course without falling"
Mar-18,1995,Basketball,"""I'm Back"" , Michael Jordan announces he is returning to the Chicago Bulls"
Mar-19,1914,Ice Hockey,"Stanley Cup, Arena Gardens, Toronto ON: Toronto HC (NHA) defeat Victoria Aristocrats (PCHA), 2-1 for a 3-0 series sweep; final series of the ""challenge"" era"
Mar-19,1915,Olympics,IOC President Pierre de Coubertin advises that the 1916 Berlin Games won't take place because of WWI
Mar-19,2019,Basketball,Houston Rockets guard James Harden becomes first player in NBA history to score at least 30 points against all 29 opponents in a single season
Mar-19,2026,Basketball,"LeBron James ties Robert Parrish's all-time mark of 1,611 NBA games played"
Mar-20,1932,Horse Racing,"Phar Lap's win his last race, winning the Agua Caliente Handicap in Mexico"
Mar-22,1894,Ice Hockey,"Stanley Cup, Victoria Rink, Montreal, Quebec: Montreal Hockey Club defeats Ottawa HC, 3-1 to win 3-team challenge tournament"
Mar-22,1991,AFL,"Adelaide Crows play their first AFL game, defeating Hawthorn"
Mar-23,1991,Athletics,1991 Sergei Bubka pole vaults world record indoor (6.12m)
Mar-24,2012,AFL,"Greater Western Sydney play their first AFL game, beaten by Sydney by 63 points"
Mar-24,2018,Cricket,"Australian batsman Cameron Bancroft is caught on camera rubbing the match ball with an object during the third cricket test in Cape Town,"
Mar-24,2018,AFL,Tom Mitchell records a record 54 disposals in a VFL/AFL games
Mar-25,1907,Ice Hockey,"Stanley Cup, Winnipeg Auditorium, Winnipeg, Manitoba: Montreal Wanderers lose to Kenora Thistles, 6-5 but win on 2 game aggregate"
Mar-25,1924,Ice Hockey,"Stanley Cup Final, Ottawa Auditorium, Ottawa, ON: Montreal Canadiens (NHL) beat Calgary Tigers (WCHL), 3-0 for a 2-0 series sweep"
Mar-25,1971,Football,Boston Patriots become New England Patriots as they relocate to Foxboro. Massachusetts
Mar-26,1972,Basketball,"1972 LA Lakers break the NBA wins record by winning 69 of 82 games (69-13), record stands for 24 years"
Mar-26,1999,Ice Hockey,"Wayne Gretzky announces his retirement from professional hockey, ending a career in which he scored more goals than any other player and shattered virtually every NHL offensive record"
Mar-27,1987,AFL,"Brisnbane Bears play their first VFL game, defeating North Melbourne"
Mar-28,1922,Ice Hockey,"Stanley Cup, Toronto St Patricks (NHL) beat Vancouver Millionaires (PCHA), 5-1 for a 3-2 series win"
Mar-28,1982,AFL,Sydney Swans win their first game after South Melbourne's relocation
